"Overall","variable","sp","season","climate","method"
18.253739972347,"ICE","WAB","winter","GISS-E2-H-CC","ann"
10.7787630100588,"SST","WAB","winter","GISS-E2-H-CC","ann"
100,"WINu","WAB","winter","GISS-E2-H-CC","ann"
0.0484564333567868,"WINv","WAB","winter","GISS-E2-H-CC","ann"
59.5876189525439,"WIN","WAB","winter","GISS-E2-H-CC","ann"
30.660781354145,"CURu","WAB","winter","GISS-E2-H-CC","ann"
9.97925225089656,"CURv","WAB","winter","GISS-E2-H-CC","ann"
41.3765146132175,"CUR","WAB","winter","GISS-E2-H-CC","ann"
0,"SSTg","WAB","winter","GISS-E2-H-CC","ann"
55.5535334051146,"DEP","WAB","winter","GISS-E2-H-CC","ann"
