"Obs","Sim","variable","sp","season","climate","method"
1.9179618515743,1.9179618515743,"ICE","LMS","summer","GISS-E2-H-CC","svm"
100,100,"SST","LMS","summer","GISS-E2-H-CC","svm"
8.69020450616211,8.69020450616211,"WINu","LMS","summer","GISS-E2-H-CC","svm"
45.6932370720192,45.6932370720192,"WINv","LMS","summer","GISS-E2-H-CC","svm"
17.4168811509975,17.4168811509975,"WIN","LMS","summer","GISS-E2-H-CC","svm"
0,0,"CURu","LMS","summer","GISS-E2-H-CC","svm"
0.966412469489001,0.966412469489001,"CURv","LMS","summer","GISS-E2-H-CC","svm"
44.4261632996606,44.4261632996606,"CUR","LMS","summer","GISS-E2-H-CC","svm"
79.8908167165551,79.8908167165551,"SSTg","LMS","summer","GISS-E2-H-CC","svm"
40.4338955064369,40.4338955064369,"DEP","LMS","summer","GISS-E2-H-CC","svm"
