"Overall","variable","sp","climate","season","method"
0,"ICE","WAB","BCC-CSM1.1","summer","gbm"
43.8009494046323,"SST","WAB","BCC-CSM1.1","summer","gbm"
4.70879418533457,"SSTg","WAB","BCC-CSM1.1","summer","gbm"
6.95144588326452,"WIN","WAB","BCC-CSM1.1","summer","gbm"
6.89413663305895,"WINu","WAB","BCC-CSM1.1","summer","gbm"
17.3889743543101,"WINv","WAB","BCC-CSM1.1","summer","gbm"
0.723222534781652,"CUR","WAB","BCC-CSM1.1","summer","gbm"
0.948793072785072,"CURu","WAB","BCC-CSM1.1","summer","gbm"
9.17607668028028,"CURv","WAB","BCC-CSM1.1","summer","gbm"
100,"SSH","WAB","BCC-CSM1.1","summer","gbm"
5.48203075465431,"SSHg","WAB","BCC-CSM1.1","summer","gbm"
7.34792903140085,"DEP","WAB","BCC-CSM1.1","summer","gbm"
